cpf;indices
093.214.876-03;86423
093.215.478-60;38014
093.217.485-04;43192
093.218.754-41;59063
093.241.576-80;51328
093.245.768-10;46858
093.248.617-78;5306
093.251.864-89;80236
093.254.167-43;98898
093.257.148-41;95470
093.264.158-05;56730
093.265.718-40;20703
093.267.481-03;13579
093.268.751-21;77003
093.276.458-47;21260
093.281.467-04;97014
093.284.576-29;76782
093.421.865-05;49155
093.425.761-25;19345
093.451.728-23;76442
093.457.182-14;53610
093.458.716-75;71696
093.468.215-15;75775
093.468.251-89;13581
093.468.571-10;7360
093.468.721-87;60523
093.471.528-97;39242
093.471.852-05;13157
093.481.657-39;95956
093.487.256-29;11510
093.514.628-89;36191
093.517.482-60;91662
093.521.647-25;8673
093.521.684-70;43788
093.524.861-70;85483
093.526.741-70;67273
093.526.871-59;5550
093.548.612-70;13144
093.561.748-57;5773
093.562.748-00;39677
093.571.246-16;87134
093.574.216-61;91493
093.574.268-92;3056
093.586.412-15;68428
093.586.721-02;85101
093.587.146-20;15142
093.614.285-51;17384
093.617.548-66;15801
093.617.854-00;63435
093.618.475-20;56657
093.624.758-47;5793
093.625.178-68;53977
093.625.784-92;23015
093.625.817-95;87518
093.642.158-42;92237
093.645.218-89;76557
093.645.281-15;49189
093.647.158-10;36821
093.651.472-80;16055
093.657.428-38;29088
093.658.142-51;90795
093.671.542-16;71394
093.672.184-78;23343
093.674.158-93;99743
093.674.512-61;44119
093.675.824-47;21439
093.678.241-22;3053
093.678.412-13;17921
093.681.574-48;42418
093.682.471-96;32914
093.682.475-10;24505
093.682.574-00;98027
093.684.251-24;37392
093.684.725-56;71185
093.685.427-83;81120
093.685.741-20;97287
093.714.652-80;92123
093.716.824-69;25859
093.718.546-93;85444
093.718.645-75;2045
093.721.856-12;62064
093.724.851-79;2054
093.725.681-12;66281
093.728.146-87;36346
093.728.561-77;35106
093.746.215-25;74225
093.748.516-01;48081
093.752.468-92;5153
093.758.426-65;85665
093.762.814-03;55706
093.768.152-03;21802
093.768.425-29;947
093.768.521-68;28838
093.781.425-32;24157
093.781.524-14;52724
093.782.145-41;8571
093.784.152-88;14663
093.784.651-10;98408
093.785.126-40;18966
093.785.164-75;3578
093.785.641-00;31670
093.812.465-05;84516
093.812.567-21;17506
093.812.647-40;88520
093.814.762-50;22889
093.815.624-15;26369
093.817.452-50;19923
093.817.564-57;12690
093.821.567-12;91138
093.824.175-32;39322
093.824.675-56;39117
093.825.674-29;98590
093.827.451-14;84404
093.827.461-96;95591
093.841.265-51;56832
093.841.267-13;1460
093.841.752-50;17818
093.842.671-04;96709
093.842.675-38;7994
093.846.271-78;86359
093.847.162-78;42460
093.851.247-14;12700
093.852.647-29;84914
093.852.761-40;87961
093.854.167-66;30537
093.856.274-65;86861
093.856.721-77;94557
093.864.572-29;79507
093.865.172-21;84490
093.871.642-50;28266
093.872.164-03;52435
093.874.625-10;98069
094.125.837-88;70443
094.125.863-70;24776
094.126.357-61;27310
094.126.538-24;31818
094.127.356-34;99054
094.128.375-50;48238
094.137.528-50;78871
094.152.367-52;53879
094.152.387-04;95789
094.153.278-04;63835
094.158.732-05;28623
094.162.837-03;85878
094.165.823-60;74092
094.185.627-58;43560
094.185.637-20;89357
094.187.352-88;34783
094.213.675-61;65564
094.216.537-34;4299
094.217.586-76;34701
094.231.587-14;84661
094.236.175-06;76468
094.237.861-03;9417
094.251.763-61;93854
094.253.781-50;96739
094.253.816-15;34140
094.256.713-70;2704
094.256.831-15;80274
094.263.785-29;33950
094.271.365-61;30521
094.271.856-94;25418
094.273.168-96;81876
094.273.615-06;17527
094.275.836-65;12731
094.276.135-99;57089
094.276.185-58;59273
094.278.365-47;9086
094.278.513-41;79638
094.286.375-56;67023
094.286.537-56;62030
094.315.268-24;19280
094.317.265-99;48307
094.321.765-25;65087
094.325.716-61;39918
094.326.715-34;86952
094.327.185-14;73692
094.327.516-43;48432
094.327.615-25;65028
094.351.287-50;94565
094.352.761-99;24768
094.352.768-65;4764
094.352.867-47;10522
094.356.721-16;89654
094.358.726-38;46478
094.367.128-04;61699
094.371.685-39;26647
094.372.581-04;94884
094.376.528-56;19583
094.376.815-20;96374
094.378.251-14;12809
094.387.126-31;99840
094.387.512-97;44572
094.387.621-40;46095
094.516.372-06;99882
094.518.372-05;95820
094.523.716-25;44297
094.531.768-93;5107
094.536.287-00;37291
094.536.817-84;34842
094.537.261-25;14567
094.561.283-42;68734
094.563.271-16;31512
094.571.328-23;38583
094.572.361-06;55889
094.573.826-92;8021
094.576.831-10;32580
094.578.213-60;58363
094.578.216-02;79018
094.578.621-20;9036
094.581.637-57;93246
094.618.352-05;38270
094.621.758-02;19924
094.623.178-87;91958
094.625.731-07;36595
094.627.385-56;75767
094.631.875-10;37459
094.632.781-50;91303
094.632.815-33;94306
094.635.718-84;45450
094.635.728-56;73628
094.638.157-75;26070
094.652.187-58;52231,76351
094.652.387-83;87974
094.652.813-60;13202
094.653.281-89;42497
094.658.137-10;51910
094.682.135-60;97129
094.682.375-83;85910
094.713.528-60;55917
094.713.685-10;50740
094.716.328-03;54782
094.721.586-76;65219
094.726.315-25;74303
094.753.162-99;50233
094.753.612-43;73480
094.756.128-58;54130
094.758.162-67;88883
094.758.623-74;30225
094.761.532-61;35015
094.761.582-20;38520
094.762.183-04;87324
094.763.582-38;23470
094.781.256-30;72375
094.781.356-00;24828
094.786.315-00;16378,86324
094.813.572-79;30249
094.815.372-50;77705
094.826.531-06;21419
094.827.651-76;36636
094.831.527-04;49431
094.857.621-94;64954
094.863.521-51;14715
094.867.231-50;82004
094.867.351-66;36528
094.872.531-14;13662
094.873.126-50;46599
094.873.625-92;71969
094.875.612-85;64978
094.876.352-38;47808
095.123.467-61;87479
095.123.846-98;76314
095.124.873-14;66516
095.132.486-15;87879
095.132.876-02;62569
095.143.682-15;9781
095.162.378-86;69544
095.163.472-07;89267
095.164.723-70;41779
095.172.348-05;83514
095.172.846-67;50451
095.176.842-58;93014
095.178.342-41;98067
095.178.624-58;30639
095.182.764-20;2041
095.183.267-03;21686
095.186.243-05;94164
095.186.342-89;49468
095.187.346-66;80667
095.214.873-05;60134
095.216.873-12;6013
095.217.843-50;46340
095.218.376-59;16104
095.237.864-74;59076
095.248.617-20;43347
095.261.438-33;67322
095.264.817-20;70063
095.268.371-77;29105
095.271.648-85;65404
095.281.476-58;11410
095.281.743-88;69918
095.283.147-32;20375
095.286.341-33;27062
095.286.413-42;3628
095.287.143-23;51551
095.317.462-06;64570
095.318.267-30;44087
095.318.627-02;95209
095.326.471-80;30830
095.326.847-00;48860
095.327.148-04;69696
095.341.786-75;12119
095.346.128-98;18302
095.346.827-56;26382
095.347.628-65;57948
095.347.862-92;50775
095.364.182-15;75599
095.368.271-40;32069
095.371.482-97;63796
095.374.816-20;93046
095.374.826-00;74072
095.376.241-61;2222
095.378.261-12;13866
095.378.412-60;35463
095.412.367-07;19128
095.412.638-60;15867
095.412.786-20;542
095.413.876-75;44945
095.418.276-67;21315
095.421.783-79;5877
095.428.617-02;40927
095.431.627-43;47832
095.437.286-74;82641
095.438.261-70;8391
095.461.328-70;44144
095.461.382-15;30614
095.461.723-16;77045
095.462.387-83;48404,89729
095.468.237-83;56963
095.468.312-98;24804
095.468.731-01;52636
095.472.361-99;57299
095.481.367-75;63516
095.481.723-05;56929
095.613.428-98;51362
095.614.328-89;78279
095.618.732-30;60913
095.621.437-16;99852
095.623.714-25;81952
095.624.173-52;33219
095.627.843-47;99272
095.642.317-52;68198
095.647.218-49;32341
095.648.273-29;70713
095.672.831-68;77924
095.673.428-65;2465
095.682.743-83;12793
095.684.732-38;96497
095.712.463-52;56986
095.712.643-34;9500
095.716.328-21;49938
095.724.638-29;45950
095.726.843-29;54396
095.732.618-12;64239
095.743.821-41;93679
095.746.328-65;83798
095.748.362-74;71502
095.762.418-20;83493
095.764.812-01;68723
095.784.316-00;8326
095.786.231-86;7006
095.786.241-58;78964
095.786.312-86;24979
095.786.321-77;83885
095.786.421-30;95177
095.812.637-21;32633
095.813.746-39;82480
095.817.364-84;31324
095.821.647-94;26725
095.823.416-70;63547
095.826.743-00;74762
095.827.364-29;10254
095.827.641-20;84737
095.831.624-42;71540
095.832.761-03;85805
095.834.267-92;96930
095.834.271-79;75458
095.842.167-67;11186
095.861.273-03;12175
095.861.723-68;73974,91838
095.862.137-30;10967
095.862.417-85;36893
095.864.123-42;80192
095.864.371-75;39129
095.872.134-32;67808
095.872.316-86;58957
095.873.216-77;28661
095.873.624-38;39384
096.123.578-03;36619
096.124.583-24;17516
096.124.835-15;41546
096.128.573-77;92431
096.134.827-50;36192
096.137.428-40;90238
096.138.457-39;39671
096.142.537-70;33586
096.143.875-48;57298
096.145.873-93;94747
096.148.237-04;81604
096.154.738-39;36251
096.157.284-11;52865
096.172.435-80;46258
096.172.485-49;47424
096.174.238-04;56235
096.174.582-76;43967
096.175.834-10;39912
096.184.572-49;93511
096.187.532-12;50994
096.213.584-42;18305
096.213.784-78;92079
096.217.583-86;8295
096.218.347-40;19111
096.218.375-02;29246
096.218.453-51;33673
096.231.547-80;95907
096.231.857-40;40857
096.234.518-06;52601
096.234.578-47;84153
096.235.148-24;6004
096.243.175-34;83813
096.243.851-06;96465
096.245.318-89;83402
096.258.174-76;93720
096.271.583-21;70970,72478
096.271.843-22;1263
096.273.541-80;10886
096.287.345-47;19647
096.287.514-76;73220
096.312.845-06;7355
096.317.245-06;18022
096.317.584-00;22516
096.324.587-29;52626
096.325.487-10;41264
096.328.541-60;90379
096.342.715-61;15865
096.345.812-42;41677
096.348.715-93;48363
096.352.148-98;51288
096.354.812-33;53090
096.357.842-10;27968
096.358.421-98;55238
096.358.712-95;36447
096.372.158-59;86931
096.372.481-96;63499
096.378.412-96;70885
096.381.524-51;61093
096.384.172-69;27702
096.384.571-39;91341
096.385.217-59;22308
096.387.541-84;92127
096.412.875-67;2547
096.418.275-02;53909
096.425.813-70;52689
096.451.783-39;43361
096.453.781-84;33167
096.471.352-70;91978
096.472.513-43;25441
096.473.182-78;20506
096.473.825-29;12835
096.483.157-01;11242
096.487.351-66;49423
096.487.352-47;40864
096.518.347-57;16166
096.521.437-07;55872
096.521.843-06;4009
096.524.178-58;43497,56077
096.527.348-29;82211
096.531.478-20;96691
096.532.718-30;23515
096.538.247-83;69060
096.541.732-80;16309
096.543.127-43;40907
096.547.218-30;15306
096.547.281-76;8192
096.548.123-98;49430
096.573.128-68;43105,78878
096.573.824-83;237
096.574.283-00;58185
096.578.213-12;22528
096.584.173-10;68136
096.584.317-39;74653
096.587.321-86;89542
096.587.432-00;70712
096.721.458-02;88861
096.721.853-59;76145
096.724.581-85;74037
096.728.453-83;42984
096.728.514-30;14726
096.731.248-50;2607
096.732.584-65;27838
096.734.815-39;45740
096.735.428-56;88197
096.741.832-13;17942
096.742.513-16;81873
096.743.215-43;96070
096.745.812-94;30328
096.752.148-30;36282,87797
096.752.841-02;15043
096.758.142-76;54282
096.781.235-68;95024
096.782.415-01;77971
096.783.412-04;33400
096.784.532-74;88898
096.785.214-58;195
096.813.524-24;21506
096.813.724-50;63693
096.814.257-58;6117
096.821.475-49;55590
096.824.137-96;2430
096.824.715-67;52739
096.827.351-30;51717
096.832.751-68;13386
096.835.241-33;99258
096.841.357-93;70300
096.842.357-47;96764
096.845.217-58;11920
096.845.312-06;15282
096.853.174-10;60255
096.854.127-58;52017
096.857.142-58;90179
096.871.345-93;18427
096.872.145-11;6821
096.875.314-01;47390
097.124.358-14;47415
097.124.368-96;1755
097.125.863-59;61708
097.128.356-77;54336
097.128.436-96;3125
097.135.264-06;70621
097.135.284-41;558
097.136.285-86;87836
097.136.584-93;2797
097.142.658-94;51533
097.143.862-50;14196
097.145.328-41;90605
097.145.682-85;87457
097.153.862-02;95996
097.182.364-22;39113
097.184.653-75;51750
097.185.463-75;51666
097.213.468-96;28341
097.213.654-16;16869
097.214.368-87;90185
097.214.386-69;4685
097.215.348-97;30721
097.215.638-03;92936
097.215.683-68;48740,49169
097.216.534-70;86905
097.218.543-79;32673
097.231.465-25;78449
097.234.816-69;99441
097.241.385-50;86504
097.245.316-43;62250
097.245.631-70;35441
097.246.183-31;97777
097.246.358-56;85581
097.254.183-79;30931
097.256.314-80;45941
097.261.538-59;83928
097.263.854-74;57585
097.265.341-43;41205
097.281.435-32;79443
097.281.463-96;52420
097.281.654-20;72439
097.284.153-97;23416
097.286.541-11;90150
097.286.543-83;383
097.312.864-03;88542
097.314.268-50;26354
097.314.568-48;37152
097.314.582-04;8964
097.314.852-79;32420
097.315.842-50;63190
097.316.428-03;35839
097.318.246-69;58095
097.321.648-40;14982
097.324.651-07;7061
097.326.184-69;32667
097.342.561-06;41652
097.342.851-14;82697
097.345.682-56;48567
097.345.861-57;59376
097.348.165-00;54895
097.351.624-07;74388
097.351.824-32;16990
097.351.826-02;37626
097.356.241-25;63149
097.358.261-86;11509
097.358.614-10;4057
097.362.485-00;98392
097.382.516-21;24444
097.384.561-93;44758
097.385.612-21;67677
097.386.251-30;84901
097.386.542-38;90430
097.415.638-84;21703
097.423.185-14;29447
097.425.318-97;57072
097.426.831-31;15353
097.428.135-23;21471
097.428.536-65;55149
097.431.628-87;82964
097.431.865-57;67098
097.436.518-10;13514
097.436.528-92;75996
097.451.362-80;76273
097.458.613-75;11423
097.462.513-25;46813
097.463.528-65;19951
097.485.126-49;9233
097.485.612-67;12741
097.485.613-48;86168
097.486.521-49;9979,38568
097.513.246-61;95298
097.513.642-99;27194
097.514.236-43;45220
097.514.638-66;24704
097.516.482-11;19705
097.516.832-03;85962
097.518.623-02;53136
097.524.863-47;32554
097.531.268-59;82250
097.532.486-10;28422
097.534.628-83;8940
097.543.821-23;94372
097.548.361-75;59129
097.561.238-77;95830
097.562.148-30;74413
097.562.381-86;2629
097.564.218-94;69091
097.581.342-05;7867
097.581.632-21;5130
097.582.361-21;3746
097.583.162-30;3939
097.583.461-48;59784
097.586.134-48;23279
097.586.431-93;47784
097.612.435-16;59140
097.618.243-22;77606
097.621.358-30;8448
097.624.531-07;40396
097.625.348-83;13537
097.631.845-84;9271
097.634.581-10;4773
097.638.514-75;17566
097.641.358-20;56936
097.642.158-58;98664
097.643.812-78;55377
097.643.852-65;64162
097.653.148-84;35038
097.684.531-84;93572
097.685.142-30;53694
097.813.465-66;69636
097.814.635-20;77654
097.821.356-40;13556
097.823.164-31;39579
097.823.461-87;11962
097.824.365-00;85793
097.832.465-00;69700
097.832.541-97;98916
097.841.253-23;6630
097.841.526-49;54957
097.841.635-00;93250
097.852.143-97;48233
097.852.146-30;98574
097.852.413-60;14266
097.852.613-95;92773
097.854.163-48;84882
097.854.312-23;13320
097.861.352-02;93043
097.862.315-03;63129
097.862.354-10;94858
097.865.142-11;37861
098.123.546-89;86397
098.124.536-60;14616
098.124.756-30;39149
098.142.657-30;52886
098.142.763-40;99922
098.143.567-00;76752
098.152.437-05;89297
098.156.472-02;46898
098.157.342-88;97533
098.162.543-60;98125
098.163.574-10;34849
098.163.724-87;56249
098.164.725-11;58815
098.165.273-59;61837
098.172.435-32;70107
098.172.465-58;61846
098.174.526-11;93240
098.175.436-84;16289
098.175.642-58;74731
098.176.423-13;78047
098.176.435-57;60970
098.215.734-79;58261
098.231.475-23;69819
098.231.765-40;93310
098.235.461-42;6581
098.236.175-03;75095
098.236.751-12;64444
098.251.736-02;52248
098.256.713-86;864
098.257.346-47;87053
098.261.435-70;57477
098.261.437-31;31479
098.267.435-00;32387
098.271.463-78;11641
098.271.465-30;53533
098.273.615-03;45007
098.274.516-85;94160
098.274.653-92;72917
098.275.146-01;82983
098.276.513-40;21751
098.276.541-01;23552
098.315.742-14;38197
098.321.654-15;73752
098.327.651-02;36958
098.341.265-06;39212
098.341.765-20;91792
098.345.167-20;88610
098.345.621-60;80795
098.345.671-20;49475
098.345.762-00;4684
098.346.127-96;69848
098.346.751-00;75894
098.347.165-75;43291
098.351.276-03;89368
098.351.476-39;39340
098.351.672-30;35775
098.361.457-10;86696
098.362.451-89;10225
098.362.751-77;86771
098.364.512-42;40485
098.365.241-42;74639
098.365.421-24;71876
098.371.254-97;5460
098.372.516-03;44487
098.374.562-56;45845
098.375.241-97;22630
098.413.625-89;74730
098.413.756-48;68955
098.415.327-60;22588
098.415.723-97;18261
098.416.527-49;88535
098.417.632-22;39237
098.417.652-76;40579
098.421.357-05;32815
098.426.153-24;22642
098.426.371-31;60479
098.427.163-50;14217
098.431.572-14;12671
098.432.671-50;18110
098.437.561-93;26885
098.453.127-05;14904
098.453.726-00;29471
098.465.123-33;51339
098.471.653-00;99369
098.472.563-65;25150
098.473.652-29;49296,59229
098.475.236-65;76008
098.475.623-00;44338
098.513.467-48;38069
098.523.714-79;43911
098.526.473-00;85179
098.527.134-50;23599
098.531.624-15;45094
098.537.264-83;71236
098.541.237-23;58361
098.542.367-65;63406
098.543.216-06;61638
098.547.163-84;45407
098.547.632-00;57524
098.562.731-02;30641
098.563.147-39;76341
098.563.742-00;21819
098.564.732-92;35568
098.567.243-92;76776
098.567.413-00;13095
098.571.324-05;35895
098.573.216-40;83326
098.576.124-58;50982
098.576.324-83;18463
098.614.357-00;34383
098.621.547-30;49019
098.623.475-38;15432
098.624.135-06;93044
098.625.713-30;40963
098.625.714-11;584
098.627.415-11;90315
098.627.531-02;46754
098.634.275-00;64375
098.634.512-15;63526
098.635.142-33;98663
098.637.154-84;88567
098.637.251-02;13755
098.637.524-10;65274
098.643.271-78;37554
098.651.734-84;57025
098.654.137-01;68455
098.672.351-77;82017
098.673.542-65;63497
098.714.652-11;89456
098.724.613-50;40822
098.731.245-60;47349
098.731.524-23;29479
098.731.526-95;44729
098.734.561-39;4915
098.741.326-04;43648
098.751.263-30;38912
098.751.432-60;3340
098.752.134-97;3556,70362
098.752.416-01;84812
098.752.461-58;18738
098.753.162-02;43531
098.753.216-21;13118
098.753.641-93;60175
098.754.316-48;81193
098.762.135-12;90235
098.763.541-75;5090
098.765.432-29;55087
102.345.798-97;30934
102.346.978-22;32372
102.349.785-97;43184
102.354.698-15;59642
102.354.986-70;46934
102.364.589-06;71928
102.364.875-07;34983
102.369.574-06;65595
102.378.596-02;48063
102.395.847-32;88554
102.395.864-33;99489
102.395.867-86;63
102.397.654-43;16422
102.398.765-12;62542
102.438.965-06;21572
102.438.976-69;91644
102.465.397-80;49071
102.467.385-53;23413
102.467.938-13;34661
102.468.593-42;68809
102.476.593-80;32070
102.476.853-80;60901
102.478.359-60;66566
102.479.863-13;98615
102.485.673-90;29708
102.485.937-14;97391
102.486.395-60;58393
102.487.639-03;7610
102.495.863-98;43490
102.497.386-78;85537
102.497.683-13;86175
102.498.357-97;90021
102.498.376-50;80008
102.498.537-79;91813
102.536.497-06;75319
102.538.467-90;53754
102.539.467-43;50053
102.539.468-24;73547
102.539.478-04;49941
102.546.379-06;15903
102.549.673-61;84798
102.549.678-76;8891
102.549.738-41;17492
102.564.879-01;61687
102.564.897-85;61482
102.567.489-85;17971
102.567.834-62;46815
102.567.849-49;7008
102.574.369-52;31828
102.579.486-94;29095
102.584.739-32;82426
102.584.937-04;24969
102.596.478-02;94065
102.596.748-85;45968
102.596.873-59;30695
102.598.347-50;28087
102.598.473-05;64687
102.635.948-15;85331
102.635.974-07;96923
102.638.479-69;17487
102.638.954-24;37019
102.645.387-90;48255
102.654.739-34;75348
102.657.839-68;302
102.657.843-44;70424
102.658.347-08;86875
102.658.749-20;35827
102.659.387-59;88952
102.674.839-96;45656
102.675.839-40;3163
102.675.943-99;55125
102.678.435-26;69618
102.678.459-01;60536
102.693.457-52;81300
102.693.584-98;88931
102.694.758-85;25971
102.697.385-68;4943
102.697.834-31;54040
102.738.645-80;44641
102.745.389-97;47238
102.745.396-16;86005
102.746.538-26;83209
102.754.693-52;59800
102.759.863-30;10927
102.765.843-17;91522
102.783.465-53;80180
102.786.943-22;32678
102.789.365-12;11835
102.793.468-40;37449
102.795.468-58;53407
102.837.456-90;75624
102.845.396-51;4936
102.846.957-85;42177
102.854.397-23;68135
102.854.976-85;68546
102.857.436-35;25780
102.859.634-06;40538
102.864.795-67;12523
102.865.437-53;87699
102.869.435-06;19397
102.873.946-03;75973
102.873.965-68;21179
102.876.395-68;85459
102.876.534-71;9362
102.879.356-12;82524
102.879.364-22;90469
102.879.365-03;50587
102.879.436-31;48881
102.893.547-14;76240
102.894.356-33;35025
102.894.756-94;84955
102.895.473-50;36303
102.895.743-23;75144
102.937.456-25;28411
102.938.574-23;48856
102.945.378-05;97592
102.946.873-78;60593
102.947.356-07;80292
102.956.738-77;18977
102.958.364-15;51896
102.974.583-88;3760
102.978.345-41;81631
102.978.346-22;43622
102.978.354-32;54048
102.985.374-60;45396
102.985.476-94;7857
102.985.673-77;21370
102.986.354-70;93548
102.987.643-69;42777
103.247.895-05;80835
103.247.896-96;55225
103.256.978-68;62175
103.256.987-59;24944
103.259.746-16;98706
103.259.764-06;12226
103.265.497-06;29462
103.265.794-43;12187
103.268.795-95;66506
103.274.695-52;81310
103.275.496-61;50048
103.279.864-50;43225
103.284.695-05;54758
103.286.574-17;16283
103.295.784-05;81073
103.425.967-99;27109
103.427.598-41;7617
103.429.785-60;96706
103.429.876-31;19957
103.452.986-24;10029
103.459.762-07;43443
103.472.586-62;18499
103.475.869-10;74373
103.476.982-04;50999
103.478.652-08;48992,52764
103.478.925-23;36787
103.485.276-08;28789
103.487.659-75;37509
103.489.275-41;88988
103.492.687-03;30534
103.495.786-48;24993
103.496.782-78;4053
103.496.785-10;67729
103.527.469-80;37631
103.529.864-33;41104
103.564.892-05;86195
103.568.294-05;67466
103.568.429-24;86740
103.578.246-44;54321
103.578.469-66;37809
103.582.697-68;41777
103.587.462-80;48228
103.587.642-62;60280
103.594.276-34;29133
103.594.278-04;57508
103.594.862-15;22071
103.597.468-10;30051
103.598.742-23;30757
103.625.798-30;59910
103.625.897-12;29193
103.625.984-60;43494
103.645.728-17;59235
103.645.872-53;78686
103.645.928-42;74465
103.645.987-00;25879
103.649.758-57;796
103.657.849-66;73337
103.659.472-61;93772
103.675.892-30;75831
103.679.824-04;87372
103.684.725-07;51668
103.689.247-69;93183
103.689.457-66;25343
103.692.845-42;46685
103.694.725-43;78100
103.695.487-01;71030
103.697.482-04;99982
103.698.452-42;5181
103.725.684-08;67567,92174
103.726.598-02;68977
103.728.649-96;64476
103.746.295-52;52369
103.746.952-61;7055
103.752.469-16;31175
103.754.986-48;1802,3304
103.759.824-50;75202
103.769.254-34;14348
103.769.425-25;47385
103.782.456-35;77788
103.784.629-03;18926
103.784.956-66;35307
103.784.962-04;30120
103.785.426-80;82927
103.785.429-23;599
103.789.465-01;38753
103.789.654-84;48303
103.794.258-23;37472
103.824.965-15;41204,47735
103.826.945-89;94176
103.826.947-40;91067
103.827.546-62;81778
103.842.756-80;20585
103.845.967-20;45930
103.845.972-97;95948
103.846.729-22;41279
103.847.526-08;33136
103.847.596-10;99487
103.857.429-32;54991
103.859.647-57;61385
103.859.762-59;46397
103.864.927-78;28330
103.872.695-68;65916
103.872.954-88;15690
103.872.965-30;19582
103.876.425-44;95145
103.876.924-87;19241
103.892.546-06;1535
103.894.526-70;57623
103.894.652-24;12934
103.896.475-00;75606
103.896.572-12;76919
103.897.642-13;69899
103.924.785-79;58218
103.925.468-33;14985
103.925.476-43;49791
103.942.578-04;70611
103.942.768-50;28794
103.946.578-10;94608
103.947.286-96;60739
103.947.652-06;34360
103.952.846-51;39644
103.956.278-77;16203
103.964.825-89;81705
103.972.584-88;40593
103.976.285-95;77448
103.982.647-40;57016
103.986.245-42;12128
104.237.968-87;6045
104.237.985-88;54322
104.238.596-33;19789
104.239.657-43;37764
104.253.867-08;23111
104.256.873-17;61076
104.257.396-43;84452
104.258.679-94;32586
104.259.368-05;2138
104.265.837-44;70058
104.267.385-35;46231
104.268.973-31;69653
104.275.693-70;8976
104.275.869-76;75560
104.283.956-51;81381
104.285.793-88;16912
104.287.935-41;17984
104.289.375-60;17195
104.293.756-70;12916
104.295.387-23;57789
104.295.736-34;13200
104.296.853-51;31713
104.325.678-44;61246
104.325.867-17;73122
104.326.975-43;99000
104.327.689-04;82817
104.327.856-71;55579
104.327.986-50;32172
104.329.587-97;28855
104.356.792-52;90513
104.359.687-93;79364
104.365.872-62;30978
104.367.528-08;51241
104.368.597-93;40748
104.368.725-44;38129
104.376.259-07;70354
104.385.926-89;40184
104.389.275-32;87591
104.395.267-52;48635
104.396.825-33;82913
104.398.567-01;86
104.528.976-02;6716
104.532.786-71;65471
104.537.926-34;74797
104.538.296-51;7563
104.539.286-33;59818
104.539.867-57;49986
104.562.798-49;1843
104.563.798-00;43942
104.573.862-07;11810
104.573.968-57;91108
104.579.862-20;29441
104.579.863-01;55041
104.592.783-04;19329
104.596.382-89;40819
104.627.853-35;55325
104.628.973-03;92402
104.629.738-40;45469
104.635.879-01;56103
104.637.589-00;2918
104.657.238-53;31474
104.659.278-58;48459
104.679.325-06;83640
104.683.259-05;84609
104.683.579-39;78547
104.683.792-31;14503,19681
104.687.325-35;34797
104.689.237-13;4670
104.689.327-04;76958
104.692.583-06;61394
104.693.728-69;31813
104.697.852-76;25944
104.698.237-04;21812
104.726.598-20;71957
104.726.853-17;11449
104.732.865-80;35275
104.738.256-35;88510
104.738.296-22;20128
104.738.962-22;96151
104.739.652-16;19666
104.752.963-70;73490
104.756.238-35;7143
104.756.832-26;55268
104.758.392-50;40793
104.762.958-58;66433
104.763.582-80;40226
104.765.238-26;50855
104.765.298-67;36454
104.782.635-62;24185
104.782.639-96;94432
104.782.695-01;13296
104.783.962-87;70945
104.786.532-71;57905
104.786.592-02;39573
104.789.326-69;90281
104.795.263-70;36869
104.795.362-52;42608
104.826.957-49;7571
104.839.657-66;38747
104.856.329-42;84989
104.857.639-66;68383
104.863.597-00;65560
104.865.723-07;90421
104.867.529-76;4792
104.867.953-57;15137
104.873.592-32;14949
104.876.523-71;49178
104.879.326-50;85450
104.892.675-30;55684
104.896.253-98;98367
104.896.753-01;95524
104.923.867-22;82049
104.932.586-98;31834
104.932.756-06;31841
104.932.765-99;30452
104.937.625-07;58618
104.938.765-10;96632
104.952.367-99;79812
104.958.263-24;53022
104.958.732-41;88063
104.967.238-04;45280
104.967.528-20;42407
104.967.823-04;89788
104.972.683-96;39026
104.973.258-88;67525
104.973.826-87;6201
104.973.852-79;75252
104.978.652-11;50346
104.985.267-20;80447
104.986.732-78;63486
104.986.752-11;88228
104.987.236-31;39537
104.987.563-00;94971
105.237.869-21;4079
105.238.947-32;2140
105.243.976-43;75580
105.249.786-11;56337
105.264.397-34;99513
105.264.897-58;41269
105.268.739-30;94093
105.269.487-01;44444
105.276.834-26;71851
105.278.436-44;52790
105.283.479-50;20151
105.283.769-77;46006
105.283.947-97;63780
105.283.964-98;28702,44237
105.284.973-32;95186
105.286.947-58;57181
105.293.648-24;27052
105.294.637-25;61191
105.326.789-40;73228
105.327.496-34;19651
105.327.948-50;8137
105.328.769-03;7240
105.328.796-86;46529
105.364.892-89;51804
105.372.984-79;94477
105.376.428-62;6445
105.376.982-21;81298
105.379.642-07;96306
105.389.247-05;68804
105.392.476-34;93947
105.397.248-23;33644
105.398.476-66;91365
105.427.986-11;15776
105.428.679-58;73704
105.432.768-80;61213
105.432.789-05;71658
105.436.782-53;14640
105.438.679-00;11049
105.438.769-93;2174
105.439.872-05;30766
105.463.872-17;33672
105.463.978-75;99464
105.467.239-34;9253
105.467.283-08;31913
105.468.237-26;67939
105.473.982-04;46085
105.479.628-94;87411
105.483.692-24;44895
105.483.726-08;1853
105.483.962-05;45448
105.486.327-07;58423
105.492.768-58;24925
105.493.678-10;32765
105.627.948-67;36674
105.628.347-53;74935
105.628.937-68;88298
105.639.728-40;95563
105.642.789-20;98414
105.647.329-07;2010
